,Tweet Text,# number,Medical relevance,X,Does X cure cancer,Unnamed: 5
479,@ClarkeMicah Peter are you in favour of medicinal use of cannabis oil for epilepsy MS cancer etc? The evidence seems overwhelming that it can cure and change people's standard of life for the better. I am in favour of using medicines of any kind that have been rigorously tested for efficacy and shown to be free of dangerous side-effects. Otherwise not. https://t.co/dcURElgpsr,4,yes,cannabis,yes,
482,"RT @AACRFoundation: We're leading discoveries, targeting cures and saving lives. Follow us to see how were helping cure cancer.",4,yes,AACRF,yes,
485,"@aeidinger @POTUS @BenCarsonizer @NPR @wamu885 @kojoshow @I_Luv_Thinkers US has held patent on cannabis as a cure for Cancer and many other diseases since 1930's.. so if they have a patent, why NOT LEGALIZE IT? THEY ALSO RENEW IT EVERY 15-30 YEARS OR SO.",4,yes,cannabis,yes,
487,Dr. Sarah Greenblatt an outstanding PhD cancer researcher @SylvesterCancer completed beautiful story demonstrating critical role 4 CARM1 in Acute Myeloid Leukemia. Her dedication &amp; creativity &amp; assistance frm many others has led 2 important discovery on novel therapeutic target. https://t.co/ZnzSVakQxR Published in journal Cancer Cell: targeting CARM1 inhibits #AML and spares normal cells in study by @SylvesterCancer researchers including @DrSDNimer. #InPursuitOf your cure https://t.co/C8txUqLK1l,4,yes,CARM1,yes,
492,"Immunotherapy Vaccine Shows Great Promise in Treating Brain Cancer Patients-JUNE 13, 2018ÌÎå«ÌÎ_ Adding an immunotherapy vaccine to traditional treatment methods is improving outcomes for patients withÌÎå«ÌÎ_glioblastoma (GBM), the most aggressive form of brain cancer https://t.co/mEBjsytCbI Closer but not close enough! #Northwest Biotherapeutics report on their #DCVAX trial show that ‰Û¡ÌÝåÁÌÎÌÌÎåAt the time of the interim analysis, 108 of the 331 participants were still alive‰Û¡ÌÝåÁÌÎÌÌ´å. So that‰Û¡ÌÝåÁÌÎÌÌ´åÈs 223 who are not! . Better needed for success and certainly not a cure for #glioblastoma https://t.co/2x4fAI5V5v",4,yes,immunotherapy,no,
494,"The Spanish version of ""thoughts and prayers"" What's next for you, Bea? Antivaxxer? Deny global warming? Shame on you for spreading panic. Science is the ONLY answer to disease! For your information: Homeopathy doesn't work! Pot doesn't cure cancer! In case you get other ideas. https://t.co/hvqEfzph0f ‰Û¡ÌÝåÁÌÎÌÌÎåNo creo que sea peligroso que la gente no se crea los estudios cientÌÎÌ__ficos sobre medicamentos. Es muy saludable que sean escÌÎÌ_Ì´å©pticos teniendo en cuenta que nuestros fÌÎÌ_ÌÎårmacos son la tercera causa de muerte.‰Û¡ÌÝåÁÌÎÌÌ´å",4,yes,"homeopathy, pot",no,
498,Indian cows are collaborating with Indian biotechnologists and Indian journalists to create a cure for Indian cancer. Drug to be launched soon on Indian WhatsApp groups. https://t.co/hNIQ1AHgA4,4,yes,cows,no,
510,All natural fruits all natural vegetables and all Natural herbs will cure any cancer out there ... pills n radiation treatments won‰Û¡ÌÝåÁÌÎÌÌ´åÈt they will just give you side effects and make it worst. ?????,4,yes,"vegetables, fruits, herbs",yes,
512,"There's a lot of things na pwedeng magawa sa marijuana, it can cure cancer and it can create a plastic that decays for 90 days. ADVANCED KASI AKO MAGISIP. ??????",4,yes,marijuana,no,
519,i don't like drugs and that stuff but cannabis oil and marijuana should be legalized everywhere. like it's proven it can cure a few types of cancer. imagine getting fucking arrested for saving your own life,4,yes,"cannabis oil, marijuana",yes,
525,Those Treated With Newer #HepC Drugs Have Lower Non-Liver Cancer Rates - The link between the older interferon treatment and these cancers may be related to the drug‰Û¡ÌÝåÁÌÎÌÌ´åÈs low hep C cure rate https://t.co/M3IVpNsneZ #bladdercancer #interferon #leukemia #lungcancer #prostatecancer,4,yes,HepC,yes,
526,"@Gardeniagal4 @jkellyca @sarah_sxlxp @kenjaques @doritmi @mmelgar09 @mcfunny @VeritasEver @DansMonkeyShack @fiski70 @maunablissed @babyname_maven @Whats_The_Harm @thereal_truther @toppediatrician @rugbyrhino16 @EmmaGPaley @RightWingBlack2 @Just4TheCause @GeoffSchuler @ProAntiVaxxer @chrisvcsefalvay @Somemyrrh @PharmaNemesis @Joshua1_5 @ghoppe @andre__levy @VaccineUK @janem1276 @LiamKav @LynnleeMavakay @itsmepanda1 @quietlynowshhh @KitemanArgues @Playerking95 @lifebiomedguru @skepticalraptor @Melissa232220 @PileOfGoop @werewecrooked @kidsdoc1962 @and_kell @viva__lala @MilanovNina @steffieschiltz @BlueLionBlog @dkegel @kevinault @Joshmazer2018 @badzoot7 Kids with cancer already have cancer. Food isn't going to cure their cancer, nor is it going to make it worse. If my kid was getting chemo, but he could keep cake and ice cream down, he'd get it. If his diagnosis were terminal, even more so. Get off your high horse.",4,yes,food,no,
536,"@northkoreatimes #NorthKorea : #DogMeatT DOES NOT CURE CANCER AND DOES NOT SERVE AS ""VIAGRA"" stop cruelty !!!! Educate your people please!!! ?????? https://t.co/nijZ7j6tw6",4,yes,dog meat,no,
545,"When you vote no to marijuana, You're voting no to - Biodegradable fuel Hempcrete Hemp clothing Hemp paper Food source (protein/fiber) Potential cure for Epilepsy, cancer, multiple scelerosis, Alzheimers, ADHD The progression towards a better world and future. ?",4,yes,marijuana,yes,
548,"I hear this often from multiple fronts and don't understand it. Just because targeted rx doesn't CURE cancer does not mean it's not a game-changer. Knowing many lung cancer pts that have lived 8, 10, 12+ years on targeted rx, this really makes me scratch my head.... #LCSM https://t.co/7Un1mrt9CL",4,yes,targeted rx,no,
553,RT @cannaworldsite: A documentary about Amelia Powers and her extraordinary experience of using cannabis to cure her brain tumor,4,yes,cannabis,yes,
554,Published in journal Cancer Cell: targeting CARM1 inhibits #AML and spares normal cells in study by @SylvesterCancer researchers including @DrSDNimer. #InPursuitOf your cure https://t.co/C8txUqLK1l,4,yes,CARM1,yes,
567,LLS is at the forefront of the fight to cure cancer and the effects can be seen in our community. Help your neighbors in need by getting involved with your local TN Chapter of @LLSusa! #LLS #LightTheNight #Tennessee https://t.co/aa7QraZlLJ,4,yes,LLS,yes,
568,"The reason why news is a fucking cesspit now is because they don't have actual investigative journalism Everything is fucking car crashes and """"""scientific"""""" studies about how coffee can cure cancer, cause cancer, give you boners or some other bullshit",4,yes,coffee,no,
570,Pree this scenario. A doctor from Us a work on them dissertation. Them travel to Jamaica and a St Thomas obeah man teach him bout Leaf of Life and Cerasee. Him do him research and use him resources to find out seh these plants cure cancer and diabetes etc. Weh we know long time.,4,yes,cerasee,yes,
580,HOW MANY MORE MUST BE KILLED BEFORE THEY REALIZE RHINO HORNS DON'T GROW PENISES OR CURE CANCER? 10 for 2018 so far! Rhino cow and her calf gunned down at famous Shamwari reserve https://t.co/zwWMVDJfWw via @TimesLIVE,4,yes,rhino horns,no,
587,"My tolerance for skeptics and conspiracy theorists is running low. If I hear one more homeopathy fanatic cry ‰Û¡ÌÝåÁÌÎÌÌÎåbig pharma‰Û¡ÌÝåÁÌÎÌÌ´å, I‰Û¡ÌÝåÁÌÎÌÌ´åÈll scream. No, cancers will never be ‰Û¡ÌÝåÁÌÎÌÌÎåcured‰Û¡ÌÝåÁÌÎÌÌ´å by a single fruit extract. No, a cure for ‰Û¡ÌÝåÁÌÎÌÌÎåall cancers‰Û¡ÌÝåÁÌÎÌÌ´å isn‰Û¡ÌÝåÁÌÎÌÌ´åÈt being ‰Û¡ÌÝåÁÌÎÌÌÎåhidden by Government‰Û¡ÌÝåÁÌÎÌÌ´å. #GiveMeStrength",4,yes,"homeopathy, fruit",no,
609,"Start Eating Papaya Seeds Right Now ‰Û¡ÌÝåÁÌÎÌÌÎÌ¥ There Are Magical Cure For Gut , Liver, Kidney and Cancer https://t.co/soAUlRzNoS",4,yes,papaya seeds,no,
610,"Can turmeric really cure cancer? Is the HIV virus actually a conspiracy concocted by the Illuminati? Are vaccines responsible for food allergies in children? All the scientific evidence points to no, but these ideas are spreading... https://t.co/4VffAh7efJ",4,yes,tumeric,no,
613,"Apricot kernels do not cure cancer. They do, unfortunately, contain amygdalin, which is converted into cyanide in the body and which can cause, amongst other things, death This is dangerous nonsense. Stop @gorskon @DocBastard https://t.co/Ga8YWOsJn0",4,yes,apricot kernels,no,
622,"Oh really? I prayed full heartedly when my father was on the death bed, that shit didnt work. And I didnt have time to be patient either. Later people came up with 'unki zindagi hi itni thi', asked them then why do we pray for good health and long life. They went blank. https://t.co/ZWwRIh1zlt PRAYERS CAN DO ANYTHING . THEY CAN CURE DEPRESSION AND CANCER TOO .NO MATTER IF YOU PRAY AT YOUR PLACE OR HOLY MAKKAH , ALLAH IS ALWAYS LISTENING BUT FOR THIS YOU SHOULD HAVE SOME PATIENCE AND SENSE . https://t.co/FVEmFzLrks",3,yes,prayers,yes,
628,"I hear this often from multiple fronts and don't understand it. Just because targeted rx doesn't CURE cancer does not mean it's not a game-changer. Knowing many lung cancer pts that have lived 8, 10, 12+ years on targeted rx, this really makes me scratch my head.... #LCSM https://t.co/7Un1mrt9CL My husband is going on 3 years taking the same TKI with no radiological evidence of disease. Within this time he got to deliver our second child and watch our daughter‰Û¡ÌÝåÁÌÎÌÌ´åÈs first graduation. It may not be the imatinib of lung ca but to our family his TKI is a #gamechanger. https://t.co/8eFXOhTWh5",3,yes,targeted rx,no,
634,"Another #MMS troll #MMS is the cure for 97% of all disease https://t.co/xv9pl1Mcfw Cancer, Aids, Lyme, Sepsicso many diseases can be knocked right out. No need for anti-biotics, no need for vaccines. No fear from these so called pandemics. https://t.co/WdKQhUwwCo @dinoguy4444444 @djt10 @starwind34371 @Charbrevolution If a pharmaceutical gave people persistent black diarrhoea, intense headaches and rapid weight loss antivaxxer would cry ‰Û¡ÌÝåÁÌÎÌÌÎÌÁpoison‰Û¡ÌÝåÁÌÎÌÌ´åÈ and call the makers&amp;distributers evil, money hungery criminals. Yet they are suckered into praising MMS.",3,yes,MMS,no,
662,"Yep, everyone who says ‰Û¡ÌÝåÁÌÎÌÌÎåapricot seeds don‰Û¡ÌÝåÁÌÎÌÌ´åÈt cure cancer‰Û¡ÌÝåÁÌÎÌÌ´å absolutely adores cancer. I really hope mine comes back so I can ignore apricot seeds and get proper treatment. Like I did last time. Wanker https://t.co/HV7OZjKbva @TakeThatChem @wordbird67 So I take it you and ur friends like cancer?? Are you shilling for cancer?? How does this work exactly?? I'm really curious now... Posting a meme asking a question brings over this comic of a debunk team... Do you guys call urself Ghostbusters?? Or is it we love cancer??",3,yes,apricot seeds,no,
674,Cure to cancer? Stop eating sugar. Cancer cells thrive on sugar. Thats how they proliferate in the body. Learn it. Teach your parents. Teach your brothers and sisters. Teach your kids. Eat better and look after yourselves.,3,yes,prevent sugar,yes,
677,"When you see one of your best mates being told that his cancer is terminal and nothing can be done cure himself to remission with Cannabis oil, you just know.... It's time for rational drug policy and reform... shame on any govt that suppresses and ignores it's medicinal value. https://t.co/pCco2gV6ls",3,yes,cannabis oil,yes,
679,"I agree:) But just watch! All those issues U mentioned will disappear as those that have been battling these situations are already turning them around. We're living in a truly wonderful time where we're going to witness extreme evil dissipate into loving &amp; peaceful existence:) https://t.co/YmEfygZJGx @WhiteEagle1927 They made factory farming acceptable, poisoning our food acceptable, made illegal the best cancer cure Marijuana , created worthless electronic money and futures. They've fooled many but they will not get away with making child rape OK",3,yes,marijuana,yes,
692,"https://t.co/Vw2w9ROvm9 The answer to cure cancer may not be of this world, but in space! Check out how #Kentucky 's own Kris Kimel and @space_tango are leading the charge to find biomedical solutions in micro-gravity! #ThinkKentucky #ThinkAerospace #Cancercure",3,yes,biomedical solutions in micro-gravity,yes,
698,"@MeghanMcCain There is a lot of advancements to treat GBM All the best health and happiness 7 year GBM survivor CANCER CURE Research and Vaccines https://t.co/AXWSGdJt6Q NUTRITION, VITAMINS &amp; RELAXATION.ÌÎå«ÌÎ_ https://t.co/bwfOy9gAb2 Cannabinoids -CBD/THC https://t.co/KXDBvs6Kw9",3,yes,"cannabinoids, CBD, THC",yes,
699,"Also fun fact, my moms friend owned a health food store and was terrified of getting raided and shut down because she was selling apricot seeds (which in doses can cure cancer) she had to stop selling because the government threatened to send her to prison for promoting b17 https://t.co/egFTc5r7RJ",3,yes,apricot seeds,yes,
706,"@420StonerCorner RT .@420StonerCorner this is a fascinating subject matter I thought it was all about pot heads and such, but with cancer rampant in family CBD maybe the cure with the use of THC instead of morphine! #cannabis #weeds #PMQs what is your medically unqualified opinion? #TheresaMay @weedseeds_UK @UKCannabisClub @UKCannabisClubs @YoungLabourUK #bbcqt #bbcaq STOP THE ASSHOLES CRIMINALIZING US @WeedFeed @NORML #NYC #NYPD @UKLEAP @UKLabour @WeedNucleus cannabis communion brings GREAT PEACE FOREVER! https://t.co/F583XNT3jY",3,yes,"THC, cannabis, weeds",yes,
710,Man and Woman Use Carrot Juice to Cure Stage Four Cancer https://t.co/GFcucPeHS3,3,yes,carrot juice,yes,
715,"@campaignkate i was told that my ""negativity"" towards ""positivity"" would hasten my demise. And it was from someone who was undergoing cancer treatment.they denied that that statement was saying if you were ""positive"" it would help cure cancer. Charming person.",3,yes,positivity,no,
716,For those who believe the government has the cure to cancer. This is important because even if you kill 99% of the *regular* cancer cells using chemotherapy if you have 10 stem cells they will proliferate and the person will relapse,3,yes,chemotherapy,no,
722,"*This chimes* Positivity can‰Û¡ÌÝåÁÌÎÌÌ´åÈt cure #cancer ‰Û¡ÌÝåÁÌÎÌÌÎÌ¥ and neither can fighting talk. When a ‰Û¡ÌÝåÁÌÎÌÌÎåbattle‰Û¡ÌÝåÁÌÎÌÌ´å narrative is created around cancer, people facing the disease are denied their own narratives. *I couldn‰Û¡ÌÝåÁÌÎÌÌ´åÈt agree more* #lifewithcancer https://t.co/akJ8Zdd3Jz",3,yes,positivity,no,
724,"Whether you believe in #ClimateChange or not it‰Û¡ÌÝåÁÌÎÌÌ´åÈs best to agree that if we focus 100% on having #CleanAir, #CleanWater, #CleanEnergy &amp; eating Healthier Foods we will reduce the #Cancer epidemic. #UnityChangesEverything https://t.co/LzuLCjZw7c #Renewable #energy is the key for a #sustainable planet and finding a cure for #cancer. @RealRonHoward @LeoDiCaprio @1moregeneration @Schwarzenegger @WilsonGrinnell @GreenSportsBlog @UpGyres @lonelywhale @RedGiantUnion @ItUPtoYouNow @BrianGrazer @GreenIsUni @clara_salina https://t.co/phJoDmXmOL",3,yes,renewable energy,yes,
729,RT @nathanafttanas: BREAKING NEWS: Chips and salsa confirmed to cure cancer.. check source below? https://t.co/GY1e2cMyPE,3,yes,"chips, salsa",yes,
730,"This resembles our understanding of how to cure cancer before vs after we knew about role of #dendritic cells in the mode of action of #illixadencell, one chard of evidence and all we know is turned upside down... https://t.co/UWH96xuR86 via @TEDTalks",3,yes,dendritic cells,yes,
743,RT @dianefrancis1: #CRISPR could cure diseases and wipe out #cancer https://t.co/aOwPluxse6 #geneticengineering https://t.co/6CaVEPSzun,3,yes,CRISPR,yes,
744,RT @mari3nava: How #nanotechnology research could cure cancer and other diseases https://t.co/jeQAFlxSe5 #tech #eHealth #AI,3,yes,nanotechnology,yes,
747,LLS is at the forefront of the fight to cure cancer and the effects can be seen right in our community. All of the donations made to your local LLS chapter stay local. Help your neighbors in need by getting involved with your local LLS! #LLS #LightTheNight #Tennessee https://t.co/RPxjncLS9y,3,yes,LLS,yes,
752,"And leave voters think #Brexit is going to 'correct' this (which makes as much sense as taking Asprin to try to cure cancer*). (* Which I have, but I'm not taking Asprin for it :-) ) https://t.co/FFQOaS8QPj",3,yes,aspirin,no,
775,"Manta rays are being hunted for their gill rakers, which some believe can boost the immune system and supposedly cure cancer, chickenpox, and even fertility issues. A special report on #wildlife trade in South-east Asia https://t.co/BlBKGdeZSw https://t.co/YUMifUpJ7m",3,yes,manta rays,yes,
788,"People trivialise yoga by reducing it to a medical therapy. #Yoga is not a cure for ailments such as asthma and cancer but it is a proven system for coping with physical and mental distress, says #AashishShukla https://t.co/H39OApR0M6",3,yes,yoga,no,
793,"Meet the Collaborating Societies! SIOP is the only global multidisciplinary society entirely devoted to #paediatric and #adolescent #cancer. SIOP's vision: No child should die of cancer. Cure can be achieved with no or minimal late effects.""@WorldSIOP #ChildhoodCancer https://t.co/brk9WkhPKa Meet the Collaborating Societies! SIOP is the only global multidisciplinary society entirely devoted to #paediatric and #adolescent #cancer. SIOP‰Û¡ÌÝåÁÌÎÌÌ´åÈs vision is that no child should die of cancer and that cure can be achieved with no or minimal late effects. https://t.co/YF1VB3Squf https://t.co/JAGEKSFJOP",3,yes,SIOP,yes,
801,"@420StonerCorner RT .@420StonerCorner this is a fascinating subject matter I thought it was all about pot heads and such, but with cancer rampant in family CBD maybe the cure with the use of THC instead of morphine! #cannabis #weeds",3,yes,"cannabis, weeds, THC",yes,
803,"I hear this often from multiple fronts and don't understand it. Just because targeted rx doesn't CURE cancer does not mean it's not a game-changer. Knowing many lung cancer pts that have lived 8, 10, 12+ years on targeted rx, this really makes me scratch my head.... #LCSM https://t.co/7Un1mrt9CL I totally agree with @LeciaSequist. The hope of CURE in oncology has lead to horrific scenarios in the past, bypassing any benefit for the patient. Targ. tx has quintupled the OS for #ALK, #ROS1 - and it‰Û¡ÌÝåÁÌÎÌÌÎÌÁs just the beginning. #LCSM @ALKLungCancer @EGFRResisters @ros1cancer https://t.co/byYq8H47DC",3,yes,targeted rx,no,
818,"I can‰Û¡ÌÝåÁÌÎÌÌ´åÈt help it, I have to share this. Below are a few of the ‰Û¡ÌÝåÁÌÎÌÌÎÌÁtop tips‰Û¡ÌÝåÁÌÎÌÌ´åÈ I‰Û¡ÌÝåÁÌÎÌÌ´åÈve had over the years - I was told to stop my chemo/radio therapy as it was killing me, that kale shakes and a positive mental attitude was all I needed to cure my cancer. Quasi Quacks everywhere, beware! https://t.co/91EzUDvVOP",3,yes,"kale shakes, positivity",no,
828,The ancient tradition of using cow dung and urine in medicine is now becoming popular and may even help to cure cancer. #RSS #NagalaChandrabhan #CowBasedProducts #VrindavanToday https://t.co/jBi8POveLO,3,yes,"cow dung, urine",yes,
829,"@TRUMPMOMENTS411 @peterbakernyt Sweet pea, what you fail to understand is sometimes you have to take a dose of chemo to cure cancer. Everyone knows that. This is a very long game. The GOP grows older and older. Enjoy your last gasp.",3,yes,chemo,yes,
830,"These types of Marijuana activists are annoying and not doing their movement any good. #SQ788 1. The kind who believe that weed can honest-to-God cure cancer, AIDS, Alzheimer's when all the medicinal uses of weed just treat symptoms of said diseases and doesn't cure anything. How about the normal middle class who simply don‰Û¡ÌÝåÁÌÎÌÌ´åÈt want to go to prison for marijuana possession and distribution charges? -Nobody cares anything about proving to you whether or not it cures cancer. #SQ788 https://t.co/2BRjU4lYW1",3,yes,marijuana,no,
838,"@SueSpurgin @Elephas_maximus @TamsynCarstens @tselsmark @SaveOurRhinoK9 @EleRhinoMarch @SharonHoole @louisa1000 @h0t_p0ppy two more rhinos murdered!! #China #Vietnam @SCMPNews @tuoitrenewsvn #RhinoHornCuresNothing https://t.co/O1mStdRTo5 Too horrific! Mom and baby...people are sick! 10 so far and we're only in July. Horns hacked with axe. ''Attn people, #China #Vietnam You know yourselves... RHINO HORNS DO NOT CURE CANCER OR GROW PENISES.'' REALLY!!! LEAVE ANIMALS ALONE https://t.co/7h28BgyrZ5",3,yes,rhino horns,no,
843,This Small Fruit is a Real Treasure: Can Cure Prostate Cancer and Prevent Stomach and Colon Cancer! ‰Û¡ÌÝåÁÌÎÌÌÎÌ¥ HealthTipsCentral https://t.co/5raIhxwMJx #health #healthtips #healthadvice #healthy #Nutrition #FitFood #fitness #vegan #exercise #workout #diet #motivation,3,yes,fruit,yes,
845,"A look into this week‰Û¡ÌÝåÁÌÎÌÌ´åÈs #GD2018 conference, CSO Dr. David Pauza, and his industry panel discussion on using #gdTcells immunotherapy to cure #cancer. @forum_gd Photo cred @CoffeltLab https://t.co/96roGr7N0o",3,yes,immunotherapy,yes,
852,"I hear this often from multiple fronts and don't understand it. Just because targeted rx doesn't CURE cancer does not mean it's not a game-changer. Knowing many lung cancer pts that have lived 8, 10, 12+ years on targeted rx, this really makes me scratch my head.... #LCSM https://t.co/7Un1mrt9CL I hate to remind my oncology colleagues of this point, since their rhetoric is as if they have forgotten These are not game-changer drugs (with exception of imatinib CML) by the way Most of these cancer patients, will die of these cancers It makes me sad https://t.co/dlQLAGfvyQ",3,yes,targeted rx,no,
857,"Start Eating Papaya Seeds Right Now ‰Û¡ÌÝåÁÌÎÌÌÎÌ¥ There Are Magical Cure For Gut , Liver, Kidney and Cancer https://t.co/6RNDc02Kd4",3,yes,papaya seeds,yes,
863,Our lead researcher shares how AI is being used in the race to cure cancer #AI #cancer #healthcare #machinelearning #deeplearning https://t.co/uxP86BO95L,3,yes,AI,yes,
869,@adustingofkief @Kkaiserrr @c_cannabiscafe I've been trying to convince people about the power of cannabis for over 10yrs and ppl seem to just not care but with recent TV exposure has open a lot of ppls eyes to what is going on. Cancer is an endocannabinoid deficiency and cannabis can cure cancer https://t.co/R2DZgjgAVu,3,yes,cannabis,yes,
883,people who refuse to vaccinate their children or refuse any sort of medical treatment are the worst of human kind. my mom is a doctor and everyday she sees women with breast cancer who don't want to be treated?? stop believing that plants will cure diseases dumb ppl,3,yes,plants,no,
884,"$AGEN innovation engine produced 5 INDs in 18mos; 6 INDs planned in 2018 &amp; 2 planned for 1H2019. That's 13 molecules from discovery to IND in 3 yrs. Plus, &gt;100 pts treated with AGEN1884 &amp;/or AGEN2034 #ASCO2018. INNOVATION AND SPEED IN ACTION! https://t.co/vrwjOmjMVO Driven by innovation &amp; speed and powered by the right combination of science &amp; people‰Û¡ÌÝåÁÌÎÌÌÎÌÕsee how we're pursuing our passion and advancing toward our goal to cure cancer. This is our story: https://t.co/aPxu2DPLkm #immunotherapy @big3bioBOS $AGEN",3,yes,immunotherapy,yes,
897,"this kid told me one time every illness, cancer and disability is all a figment of the mind and with the right spiritual balance you can cure ANYTHING. And I really hope he fucks himself with that self righteous dick he hs",3,yes,spiritual balance,no,
898,"Serious question: if I know a registered nurse who thinks the FDA is a crime syndicate and eating a shit ton of apricot pits can cure cancer...do I like call somebody, or",3,yes,apricot pits,no,
910,60 caps of weed oil eaten within 2months cures 90 percent of all known cancers destroys the cancer cells this is a crime against humanity and governments should never have power like this again corporate greed owned monsters cure for cancer - for more google -run from the cure,2,yes,weed oil,yes,
915,"AMAZING NEWS! Local god and universe creator, Ian WRIGHT has just announced that he has just found the cure to CANCER! There are plans to make it available in every CORNER SHOP around the WORLD!",2,yes,Ian Wright,yes,
919,My foreign colleague had a good laugh at me today coz Indians finally found out the cure for cancer! Modi and his people are making Indians a laughing stock in front of the entire world! Another #MasterStroke from our #Modiji! #Gomutra #Cancer #IncredibleIndia #India #Modi,2,yes,gomutra,no,
925,"The latest episode of our #techforgood podcast is out! WAP is back - apparently. We talk about @TechforgoodCAST's ace digital principles for prosocial causes, and how @VodafoneFdn hope to use your phone's power to help cure cancer. Plus loads more. ? https://t.co/w5mcU4QXqB",2,yes,phone's power,yes,
